mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.025677824020385744,0.002610493032923464,0.0036612987518310548,0.00026371253030489856,relu,0.0001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.0,0.2,0.16666666666666666,0.0,0.0,0.07333333333333333,0.09043106644167025,35,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.10158730158730159,0.1260281475636775,SMA20_50
0.03041849136352539,0.006867575296775106,0.0035735607147216798,0.000179257136091473,relu,0.0001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.2857142857142857,0.2,0.3333333333333333,0.2857142857142857,0.6,0.340952380952381,0.13647987899179317,25,0.27450980392156865,0.2857142857142857,0.5084745762711864,0.5538461538461539,0.6,0.44450896395063894,0.13736021781598234,SMA20_50
0.02543191909790039,0.006365109918508268,0.003358125686645508,0.00036153175743179307,relu,0.0001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.75,0.5882352941176471,0.6363636363636364,0.6956521739130435,0.5714285714285714,0.6483359351645797,0.06670018608342283,1,0.6265060240963856,0.6666666666666666,0.6511627906976745,0.6190476190476191,0.6666666666666666,0.6460099534350024,0.01993650957509282,SMA20_50
0.024137544631958007,0.002160927029748133,0.0032987594604492188,7.173745244392494e-05,relu,0.0001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.631578947368421,0.375,0.7272727272727273,0.6363636363636364,0.5263157894736842,0.5793062200956938,0.12035870664074899,13,0.7567567567567568,0.647887323943662,0.5853658536585366,0.6301369863013698,0.7733333333333333,0.6786960507987316,0.07357632112808604,SMA20_50
0.025007295608520507,0.00409404591453548,0.00323634147644043,7.944204368773789e-05,relu,0.0001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.36363636363636365,0.4,0.3076923076923077,0.21426573426573428,0.17740176818144976,31,0.18604651162790697,0.21739130434782608,0.09523809523809523,0.43636363636363634,0.1,0.20700790951549294,0.12417280588773524,SMA20_50
0.02446269989013672,0.0037469309195657745,0.004114580154418945,0.0018822015235473103,relu,0.0001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.47058823529411764,0.42857142857142855,0.6666666666666666,0.7368421052631579,0.75,0.6105336871590741,0.13509298526407865,7,0.7792207792207793,0.5797101449275363,0.7415730337078652,0.5373134328358209,0.735632183908046,0.6746899149200095,0.0969612993490878,SMA20_50
0.02262420654296875,0.0032125094541530564,0.0033061981201171877,8.369237915454783e-05,relu,0.001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.0,0.2,0.16666666666666666,0.0,0.0,0.07333333333333333,0.09043106644167025,35,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.10158730158730159,0.1260281475636775,SMA20_50
0.027669239044189452,0.010911475955582402,0.0035777568817138674,0.0002943405507412367,relu,0.001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.2857142857142857,0.2,0.3333333333333333,0.2857142857142857,0.6,0.340952380952381,0.13647987899179317,25,0.27450980392156865,0.2857142857142857,0.5084745762711864,0.5538461538461539,0.6,0.44450896395063894,0.13736021781598234,SMA20_50
0.03204598426818848,0.006591947996912285,0.004286623001098633,0.000929344374371856,relu,0.001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.75,0.5882352941176471,0.6363636363636364,0.6956521739130435,0.5714285714285714,0.6483359351645797,0.06670018608342283,1,0.6265060240963856,0.6666666666666666,0.6511627906976745,0.6190476190476191,0.6666666666666666,0.6460099534350024,0.01993650957509282,SMA20_50
0.026330947875976562,0.0029886061248901342,0.003796243667602539,0.00033278255172287106,relu,0.001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.631578947368421,0.375,0.7272727272727273,0.6363636363636364,0.5263157894736842,0.5793062200956938,0.12035870664074899,13,0.7567567567567568,0.647887323943662,0.5853658536585366,0.6301369863013698,0.7733333333333333,0.6786960507987316,0.07357632112808604,SMA20_50
